Metric,Value
Accuracy,0.675
Error Rate,0.32499999999999996
Sensitivity / Recall,0.7101449275362319
Specificity,0.6274509803921569
Precision,0.7205882352941176
F1-Score,0.7153284671532847
AUC,0.6687979539641944
Mean CV Accuracy,0.6733333333333333
