Metric,Value
Accuracy,0.7333333333333333
Error Rate,0.2666666666666667
Sensitivity / Recall,0.7681159420289855
Specificity,0.6862745098039216
Precision,0.7681159420289855
F1-Score,0.7681159420289855
AUC,0.815004262574595
Mean CV Accuracy,0.7883333333333333
